patent_id,title,assignee,grant_date,label,confidence,rationale,insufficient_info,unparsed,model
US0745257A,MEASURING DEVICE.,GUS E. TRAGER FRANK M. STEADMAN,11/24/1903,neither,1,"The title and abstract provide no information about the function of the device, making it impossible to classify.",True,,google/gemini-2.5-flash-lite
US10001520B2,System and method for detecting voltage dependence in insulation systems based on harmonic analysis,AVO Multi-Amp Corporation,06/19/2018,neither,3,"The patent describes a method for testing insulation systems by analyzing harmonic content of a test response, which is a technical diagnostic process unrelated to people.",False,,google/gemini-2.5-flash-lite
US10016541B2,Leak-resistant bandage systems and methods with hydrophilic foam wound insert for fluid-instillation and/or negative-pressure wound therapies,"KCI Licensing, Inc.",07/10/2018,neither,3,"The patent describes wound treatment systems and methods for negative-pressure and/or fluid-installation wound therapies, with no mention of identifying, tracking, monitoring people, or military/defense applications.",False,,google/gemini-2.5-flash-lite
US10010506B2,Matrix and layer compositions for protection of bioactives,"Novus International, Inc.",07/03/2018,neither,1,"The patent describes matrix and layer compositions for the delivery of bioactives with advantageous mechanical properties and pH-dependent release, with no mention of identifying, tracking, monitoring people, or military/defense applications.",False,,google/gemini-2.5-flash-lite
US10014555B2,Lithium secondary battery and production method therefor,NEC Corporation,07/03/2018,neither,3,"The patent describes a lithium secondary battery and its production method, focusing on the composition of the electrolytic solution and positive electrode active material, with no mention of identifying, tracking, monitoring, profiling, or military/defense applications.",False,,google/gemini-2.5-flash-lite
US10023581B2,Modified cytotoxins and their therapeutic use,"The Regents of the University of California Vybyl Holdings, Inc.",07/17/2018,neither,3,"The patent describes compounds useful for treating cancer by modifying cytotoxins with hydrophobic portions and proteins like albumin, with no mention of identifying, tracking, monitoring, profiling, or military applications.",False,,google/gemini-2.5-flash-lite
US10017750B2,Modified polymerases for improved incorporation of nucleotide analogues,Illumina Cambridge Limited,07/10/2018,neither,3,"The patent describes modified polymerase enzymes for improved incorporation of nucleotide analogs into polynucleotides, specifically for DNA sequencing.",False,,google/gemini-2.5-flash-lite
US10032272B2,"Workstation, medical imaging apparatus including the same, and control method for the same","Samsung Electronics Co., Ltd.",07/24/2018,neither,3,"The patent describes a workstation and method for correcting organ contours in medical images, which is a medical imaging application.",False,,google/gemini-2.5-flash-lite
US10026609B2,Nanoshape patterning techniques that allow high-speed and low-cost fabrication of nanoshape structures,"Board of Regents, The University of Texas System",07/17/2018,neither,3,"The patent describes a method for fabricating nanoscale shapes for general purposes, with no mention of identifying, tracking, monitoring people, or military applications.",False,,google/gemini-2.5-flash-lite
US10019460B2,Hosted file sync with direct access to hosted files,"Microsoft Technology Licensing, LLC",07/10/2018,neither,3,"The patent describes a system for synchronizing files from a hosted file system to client devices, focusing on performance and avoiding file locks, with no mention of identifying, tracking, or monitoring people.",False,,google/gemini-2.5-flash-lite
US10032537B2,"Separator material for polymer electrolyte fuel cell having excellent corrosion resistance, conductivity and formability, and method for manufacturing same","Nakayama Amorphous Co., Ltd. USUI Kokusai Sangyo Kaisya, Ltd. Yamanaka Eng. Co, Ltd.",07/24/2018,neither,3,"The patent describes a separator material for a polymer electrolyte fuel cell, focusing on its material properties and manufacturing method, with no mention of identifying, tracking, monitoring people, or military applications.",False,,google/gemini-2.5-flash-lite
US10035771B2,Mercaptonicotinic acid compound and preparation method and use thereof,"INSTITUTE OF MICROBIOLOGY AND EPIDEMIOLOGY, ACADEMY OF MILITARY MEDICAL SCIENCES, PR CHINA THE SECOND MILITARY MEDICAL UNIVERSITY",07/31/2018,neither,3,"The patent describes a compound and its use in preparing medicine to prevent and/or treat botulism and tetanus, which is a medical application.",False,,google/gemini-2.5-flash-lite
